navn,antal,kommentar
Køleskabe,3
Dybfryser,1
Opvaskemaskine,1
Kaffemaskiner i køkken,2
Stor kaffemaskine i baren, 1
El-kedler,2
Støvsuger,1
Komfur,1
Ekstra ovn, 1
Mikroovn,1
Emhætte,1
Rulleborde,2
Rengøringsvogn,1,med diverse
Puder,60
Høj barnestol,2
Puslebord,1
Barstole,3 + 7
Musikanlæg,1, med ledning til PC
Brødkurve,13
