navn,antal,ekstra,pris
Glas,60,20,20
Rødvinsglas,60,20,20
Hvidvinsglas,60,20,20
Portvinsglas,60,20,20
Champagneglas,60,20,20
Snapseglas+likørglas,60,,20
Cognacglas,32,,20
Kaffekolbe til stor kaffemaskine,4,,250
Vandkander,12,,75
Glasvaser små/store
